"","X","Slope","TrueID","Treatment","PropAlive","Performance","Food","dryweight","Protein","Carbs","LineWeight1","LineWeight2","Enacapsulation","PO","ProPO","Protein.1","BSA.Slope","BSA.Intercept","RealProtein","maxweight","Protein.2","RealProtein.2","Distance","PerformanceSTD","EncapsulationSTD","POSTD","RealProteinSTD","ProPOSTD"
"95",95,0.021075119,1010,"Control",0.712121212,0.015008039,18.5291,4.396732619,1.362987112,1.626791069,0.847,1.069,0.222,0.000763,0.0003375,0.55,-0.14,0.521,0.444,6290.8,0.864715,1.0912052,2.12230606879787,0.36026838298998,-0.397518663603587,0.0966085828086177,-0.148514322298484,-0.36034989645807
"96",96,0.02340465,1011,"Control",0.712121212,0.016666948,14.9968,3.548662712,1.100085441,1.313005203,0.771,1.094,0.323,0.001655,0.000875,0.491,-0.053,0.26,0.233977,6466.9,0.9907803,1.5399613441,1.71294210077435,0.698140460862647,-0.150464315645081,1.47965356317356,0.809163973919813,0.726179681220957
"97",97,0.02239624,1012,"Control",0.712121212,0.015948838,18.8179,4.466070611,1.384481889,1.652446126,0.695,1.532,0.837,0.0006875,0.000836,0.468,-0.14,0.521,0.45548,8091.1,1.0399244,1.066675884,2.15577556816599,0.551882095972745,1.10682216802494,-0.0204540808881905,-0.200861669210898,0.647343116514944
"98",98,0.024008,1013,"Control",0.712121212,0.017096606,16.079,3.80848811,1.180631314,1.409140601,0.599,0.823,0.224,0.0010755,0.000888,0.503,-0.053,0.26,0.233341,7833.2,0.9651399,1.5413202853,1.83836001179965,0.785649444920611,-0.392626498297478,0.58113947559342,0.812064053417748,0.752458536122961
"99",99,0.022000844,1014,"Control",0.712121212,0.015667268,17.7576,4.211503184,1.305565987,1.558256178,0.678,1.012,0.334,0.0010405,0.001225,0.4735,-0.14,0.521,0.45471,6906.9,1.02817255,1.068321143,2.03289568416248,0.494534380717354,-0.123557406461481,0.526872015601522,-0.19735056667409,1.433687313198
"100",100,0.023387576,1015,"Control",0.712121212,0.016654789,17.4869,4.146510821,1.285418355,1.534209004,0.559,0.831,0.272,0.00119,0.00075,0.488,-0.053,0.26,0.234136,7914.7,0.9971904,1.5396216088,2.00152382332202,0.695664022073747,-0.275214530950861,0.758671594709771,0.808438954045329,0.473498384086299
"101",101,0.022897049,1016,"Control",0.712121212,0.016305474,15.6813,3.713004317,1.151031338,1.373811597,0.619,0.868,0.249,0.003725,0.00272,0.4915,-0.053,0.26,0.2339505,7354.2,0.98971195,1.54001796665,1.79226991413396,0.624518597651979,-0.331474431971115,4.68918619698008,0.80928481056556,4.4557556269285
"102",102,0.023953452,1017,"Control",0.712121212,0.017057761,15.4316,3.653053844,1.132446692,1.351629922,0.461,1.129,0.668,0.0007665,0.0005875,0.499,-0.14,0.521,0.45114,7670.8,0.9736867,1.075949162,1.7633317771388,0.7777378350222,0.693434199658725,0.102035328807808,-0.181071818548888,0.145012697811245
"103",103,0.022125857,1018,"Control",0.712121212,0.015756292,20.5824,4.889709416,1.515809919,1.809192484,0.588,1.143,0.555,0.001965,0.00199,0.496,-0.14,0.521,0.45156,8764.5,0.9800968,1.075051748,2.36026633130689,0.512666010517745,0.417026859863565,1.96030820881608,-0.182986965387147,2.9800968516621
"104",104,0.022896193,1019,"Control",0.712121212,0.016304864,17.3728,4.119116552,1.276926131,1.524073124,0.577,0.842,0.265,0.0008215,0.0003415,0.857,-0.053,0.26,0.214579,7725.9,0.2087481,1.5814090507,1.98830058877669,0.624394358186462,-0.292337109522243,0.187312765937933,0.897616398606835,-0.352264094949761
